name,solved,type,objval,runtime,gap,Z1,Z2,Z3,Z4,Z5,SObjVal,SZ1,SZ2,SZ3,SZ4,SZ5
I3_N5_M3_T45_C150_DepCentral_s4,True,P4,1586.3000790542244,0.003999948501586914,0.0,18.73569081392109,10.785899106527708,4.350287346831242,1356.0,218.0,28.51204269596068,28.51204269596069,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s4,True,P5,1586.3000790542244,0.004999876022338867,0.0,18.73569081392109,10.785899106527708,4.350287346831242,1356.0,218.0,28.51204269596068,28.51204269596069,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepCentral_s4,True,P6,37.58159744405455,0.002000093460083008,0.0,37.58159744405455,0.0,0.0,0.0,0.0,28.51204269596068,28.51204269596069,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s0,True,P1,1330.3297284949574,0.005000114440917969,0.0,24.770746325555336,11.346154235063223,10.905136404465559,1078.0,228.0,48.44265157269915,40.44265157269914,0.0,0.0,8,0
I3_N5_M3_T45_C150_DepLowerLeft_s0,True,P2,1330.3297284949574,0.003999948501586914,0.0,24.770746325555336,11.346154235063223,10.905136404465559,1078.0,228.0,48.44265157269915,40.44265157269914,0.0,0.0,8,0
I3_N5_M3_T45_C150_DepLowerLeft_s0,True,P3,1330.3297284949574,0.003999948501586914,0.0,24.770746325555336,11.346154235063223,10.905136404465559,1078.0,228.0,48.44265157269915,40.44265157269914,0.0,0.0,8,0
I3_N5_M3_T45_C150_DepLowerLeft_s0,True,P4,1330.3297284949574,0.003000020980834961,0.0,24.770746325555336,11.346154235063223,10.905136404465559,1078.0,228.0,48.44265157269915,40.44265157269914,0.0,0.0,8,0
I3_N5_M3_T45_C150_DepLowerLeft_s0,True,P5,1330.3297284949574,0.004000186920166016,0.0,24.770746325555336,11.346154235063223,10.905136404465559,1078.0,228.0,48.44265157269915,40.44265157269914,0.0,0.0,8,0
I3_N5_M3_T45_C150_DepLowerLeft_s0,True,P6,125.71059414631098,0.002000093460083008,0.0,53.71059414631097,0.0,0.0,0.0,72.0,48.44265157269915,40.44265157269914,0.0,0.0,8,0
I3_N5_M3_T45_C150_DepLowerLeft_s1,True,P1,1340.95579302708,0.00599980354309082,0.0,25.817603458743633,11.844601515900797,10.982791084237194,788.0,528.0,42.80957162069345,42.80957162069346,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s1,True,P2,1340.95579302708,0.005000114440917969,0.0,25.817603458743633,11.844601515900797,10.982791084237194,788.0,528.0,42.80957162069345,42.80957162069346,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s1,True,P3,1340.95579302708,0.006999969482421875,0.0,25.817603458743633,11.844601515900797,10.982791084237194,788.0,528.0,42.80957162069345,42.80957162069346,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s1,True,P4,1340.95579302708,0.004999876022338867,0.0,25.817603458743633,11.844601515900797,10.982791084237194,788.0,528.0,42.80957162069345,42.80957162069346,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s1,True,P5,1340.95579302708,0.004000186920166016,0.0,25.817603458743633,11.844601515900797,10.982791084237194,788.0,528.0,42.80957162069345,42.80957162069346,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s1,True,P6,294.4975775878919,0.002000093460083008,0.0,54.4975775878919,0.0,0.0,0.0,240.0,42.80957162069345,42.80957162069346,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s2,True,P1,1792.9968630215935,0.003999948501586914,1.8324519647696458e-05,27.21363927694955,12.281733777038106,12.064957521682372,1466.0,300.0,54.54549926315747,54.54549926315746,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s2,True,P2,1792.996863021594,0.006000041961669922,1.8324519647950076e-05,27.21363927694955,12.281733777038106,12.064957521682372,1466.0,300.0,54.54549926315747,54.54549926315746,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s2,True,P3,1792.9968630215935,0.003999948501586914,1.8324519647696458e-05,27.21363927694955,12.281733777038106,12.064957521682372,1466.0,300.0,54.54549926315747,54.54549926315746,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s2,True,P4,1792.996863021594,0.003999948501586914,1.8324519647950076e-05,27.21363927694955,12.281733777038106,12.064957521682372,1466.0,300.0,54.54549926315747,54.54549926315746,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s2,True,P5,1792.996863021594,0.003999948501586914,1.8324519647950076e-05,27.21363927694955,12.281733777038106,12.064957521682372,1466.0,300.0,54.54549926315747,54.54549926315746,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s2,True,P6,134.8030322402313,0.0029997825622558594,0.0,56.80303224023129,0.0,0.0,0.0,78.0,54.54549926315747,54.54549926315746,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s3,True,P1,1582.403106595918,0.003000020980834961,0.0,23.652653681770268,7.9326002803139914,6.683053194461346,1470.0,90.0,41.38038881919396,41.38038881919395,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s3,True,P2,1582.403106595918,0.005000114440917969,0.0,23.652653681770268,7.9326002803139914,6.683053194461346,1470.0,90.0,41.38038881919396,41.38038881919395,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s3,True,P3,1582.403106595918,0.003999948501586914,0.0,23.652653681770268,7.9326002803139914,6.683053194461346,1470.0,90.0,41.38038881919396,41.38038881919395,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s3,True,P4,1582.403106595918,0.003999948501586914,0.0,23.652653681770268,7.9326002803139914,6.683053194461346,1470.0,90.0,41.38038881919396,41.38038881919395,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s3,True,P5,1582.403106595918,0.003999948501586914,0.0,23.652653681770268,7.9326002803139914,6.683053194461346,1470.0,90.0,41.38038881919396,41.38038881919395,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s3,True,P6,117.91439402691219,0.0019998550415039062,0.0,43.914394026912206,0.0,0.0,0.0,74.0,41.38038881919396,41.38038881919395,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s4,True,P1,1595.3474024898753,0.003999948501586914,0.0,21.545497710166412,9.435697723104893,9.237602502814244,1340.0,234.0,41.1743708687662,41.1743708687662,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s4,True,P2,1592.673300225919,0.006000041961669922,0.0,21.545497710166412,12.109799987061523,9.237602502814244,1346.0,228.0,41.1743708687662,41.1743708687662,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s4,True,P3,1595.347402489876,0.003999948501586914,0.0,21.545497710166412,9.435697723104893,9.237602502814244,1340.0,234.0,41.1743708687662,41.1743708687662,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s4,True,P4,1592.673300225919,0.004999876022338867,0.0,21.545497710166412,12.109799987061523,9.237602502814244,1346.0,228.0,41.1743708687662,41.1743708687662,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s4,True,P5,1592.673300225919,0.005000114440917969,0.0,21.545497710166412,12.109799987061523,9.237602502814244,1346.0,228.0,41.1743708687662,41.1743708687662,0.0,0.0,0,0
I3_N5_M3_T45_C150_DepLowerLeft_s4,True,P6,119.8781981698167,0.003000020980834961,0.0,45.878198169816706,0.0,0.0,0.0,74.0,41.1743708687662,41.1743708687662,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s0,True,P1,820.3818387378099,0.006000041961669922,0.0,17.057683967537116,4.798343757406281,2.1224985276791126,670.0,136.0,18.39770858716315,18.39770858716315,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s0,True,P2,822.8728587124742,0.006000041961669922,0.0,17.057683967537116,4.02175110787769,3.836925852814985,806.0,0.0,18.39770858716315,18.39770858716315,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s0,True,P3,822.8728587124743,0.005000114440917969,0.0,17.057683967537116,4.02175110787769,3.836925852814985,806.0,0.0,18.39770858716315,18.39770858716315,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s0,True,P4,822.8728587124742,0.004000186920166016,0.0,17.057683967537116,4.02175110787769,3.836925852814985,806.0,0.0,18.39770858716315,18.39770858716315,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s0,True,P5,822.8728587124742,0.003999948501586914,0.0,17.057683967537116,4.02175110787769,3.836925852814985,806.0,0.0,18.39770858716315,18.39770858716315,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s0,True,P6,22.743084438116806,0.002000093460083008,0.0,22.743084438116806,0.0,0.0,0.0,0.0,18.39770858716315,18.39770858716315,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s1,True,P1,836.8876719922644,0.006000041961669922,0.0,22.615466814517404,5.516105791537404,3.788310969284333,666.0,150.0,23.95968639016486,23.95968639016486,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s1,True,P2,835.9115093050198,0.004999876022338867,0.0,22.615466814517404,7.445908584740821,4.741951075243185,662.0,154.0,23.95968639016486,23.95968639016486,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s1,True,P3,835.9115093050198,0.005000114440917969,0.0,22.615466814517404,7.445908584740821,4.741951075243185,662.0,154.0,23.95968639016486,23.95968639016486,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s1,True,P4,835.9115093050198,0.004999876022338867,0.0,22.615466814517404,7.445908584740821,4.741951075243185,662.0,154.0,23.95968639016486,23.95968639016486,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s1,True,P5,835.9115093050198,0.004999876022338867,0.0,22.615466814517404,7.445908584740821,4.741951075243185,662.0,154.0,23.95968639016486,23.95968639016486,0.0,0.0,0,0
I3_N5_M3_T45_C200_DepCentral_s1,True,P6,35.68938030303868,0.002000093460083008,0.0,35.68938030303869,0.0,0.0,0.0,0.0,23.95968639016486,23.95968639016486,0.0,0.0,0,0
