name,solved,type,objval,runtime_p,gap_p,Z1_p,Z2_p,Z3_p,Z4_p,Z5_p,FixObjVal,FixGAP,FixZ1,FixZ2,FixZ3,FixZ4,FixZ5
I3_N5_M3_T45_C200_DepCentral_s3,True,P1,19.85485207586932,0.0279998779296875,5.889916977486932e-05,19.85485207586932,0.0,0.0,0.0,0.0,3958.5037460251383,0.0,19.85485207586932,8.420622792985675,5.06951674225463,3504.0,438.0
I3_N5_M3_T45_C200_DepCentral_s3,True,P2,124000032.802001,0.0839998722076416,0.0,32.80200100338062,0.0,0.0,0.0,0.0,730.8020010033807,0.0,32.80200100338062,5.378048147337821,5.378048147337821,558.0,140.0
I3_N5_M3_T45_C200_DepCentral_s3,True,P3,24000032.963800967,0.13899993896484375,2.82235005808433e-07,32.96380096810532,0.0,0.0,0.0,0.0,658.9638009681055,0.0,32.96380096810532,6.266534275127389,6.266534275127389,626.0,0.0
I3_N5_M3_T45_C200_DepCentral_s3,True,P4,204000032.802001,0.07200002670288086,0.0,32.80200100338062,0.0,0.0,0.0,0.0,730.8020010033806,0.0,32.80200100338062,6.545951118689752,6.545951118689752,558.0,140.0
I3_N5_M3_T45_C200_DepCentral_s3,True,P5,12000032.963800967,0.03500008583068848,0.0,32.963800968105325,0.0,0.0,0.0,0.0,658.9638009681054,0.0,32.963800968105325,6.011728161353338,6.011728161353338,626.0,0.0
I3_N5_M3_T45_C200_DepCentral_s3,True,P6,1.801106731862789,0.0280001163482666,0.0,1.8011067318627891,0.0,0.0,0.0,0.0,748.41418801178,0.0,34.41418801177994,8.981385860719614,8.981385860719614,528.0,186.0
I3_N5_M3_T45_C200_DepLowerLeft_s0,True,P1,24.77074632555534,0.056999921798706055,0.0,24.770746325555336,0.0,0.0,0.0,0.0,3220.157700969667,0.0,24.770746325555336,12.900693395071741,10.287648039183278,2464.0,734.0
I3_N5_M3_T45_C200_DepLowerLeft_s0,True,P2,55.692251111880395,0.02499985694885254,0.0,55.692251111880395,0.0,0.0,0.0,0.0,203.6922511118804,0.0,55.692251111880395,1.085559763440042,1.085559763440042,148.0,0.0
I3_N5_M3_T45_C200_DepLowerLeft_s0,True,P3,51.59737087397254,0.04200005531311035,0.0,51.59737087397254,0.0,0.0,0.0,0.0,465.59737087397247,0.0,51.59737087397254,9.361415491259855,9.361415491259855,306.0,108.0
I3_N5_M3_T45_C200_DepLowerLeft_s0,True,P4,26000058.371429026,0.04699993133544922,0.0,58.37420297146814,0.0,0.0,0.0,0.0,402.37420297146815,0.0,58.37420297146814,0.0,0.0,0.0,344.0
I3_N5_M3_T45_C200_DepLowerLeft_s0,True,P5,52.89947500159131,0.02500009536743164,0.0,52.89947500159132,0.0,0.0,0.0,0.0,310.8994750015913,0.0,52.89947500159132,0.0,0.0,258.0,0.0
I3_N5_M3_T45_C200_DepLowerLeft_s0,True,P6,0.9030599460708986,0.031000137329101562,0.0,0.9030599460708986,0.0,0.0,0.0,0.0,511.71059414631094,0.0,53.71059414631097,10.905136404465559,10.905136404465559,350.0,108.0
I3_N5_M3_T45_C200_DepLowerLeft_s1,True,P1,25.817603458743633,0.029999971389770508,0.0,25.817603458743633,0.0,0.0,0.0,0.0,3257.060030442771,0.0,25.817603458743633,13.446412990450785,10.688839974478055,2570.0,664.0
I3_N5_M3_T45_C200_DepLowerLeft_s1,True,P2,58.696872472316066,0.02500009536743164,0.0,58.69687247231606,0.0,0.0,0.0,0.0,176.69687247231604,0.0,58.69687247231606,2.0242334088739917,2.0242334088739917,118.0,0.0
I3_N5_M3_T45_C200_DepLowerLeft_s1,True,P3,42.80957162069346,0.12199997901916504,0.0,42.80957162069346,0.0,0.0,0.0,0.0,284.8095716206935,0.0,42.80957162069346,11.680422547943321,11.680422547943321,242.0,0.0
I3_N5_M3_T45_C200_DepLowerLeft_s1,True,P4,72000054.91066995,0.07699990272521973,0.0,54.918213063838245,0.0,0.0,0.0,0.0,164.91821306383824,0.0,54.918213063838245,4.29210039342083,4.29210039342083,110.0,0.0
I3_N5_M3_T45_C200_DepLowerLeft_s1,True,P5,42.80957162069346,0.021000146865844727,0.0,42.80957162069346,0.0,0.0,0.0,0.0,284.8095716206935,0.0,42.80957162069346,11.232387580488789,11.232387580488789,242.0,0.0
I3_N5_M3_T45_C200_DepLowerLeft_s1,True,P6,1.152280638426297,0.023000001907348633,0.0,1.152280638426297,0.0,0.0,0.0,0.0,497.01879607195957,0.0,55.01879607195961,13.061768857180978,13.061768857180978,204.0,238.0
I3_N5_M3_T45_C200_DepLowerLeft_s3,True,P1,23.65265368177027,0.03600001335144043,0.0,23.652653681770268,0.0,0.0,0.0,0.0,3963.9589239811544,0.0,23.652653681770268,8.265616796420925,6.571887095804371,3596.0,346.0
I3_N5_M3_T45_C200_DepLowerLeft_s3,True,P2,124000041.38038883,0.09599995613098145,2.682208119805361e-12,41.38038881919396,0.0,0.0,0.0,0.0,739.380388819194,0.0,41.38038881919396,9.836818948079392,9.836818948079392,352.0,346.0
I3_N5_M3_T45_C200_DepLowerLeft_s3,True,P3,24000041.539819654,0.04999995231628418,0.0,41.87049193569336,0.0,0.0,0.0,0.0,659.8704919356933,0.0,41.87049193569336,11.036295664161374,11.036295664161374,618.0,0.0
I3_N5_M3_T45_C200_DepLowerLeft_s3,True,P4,204000041.00480554,0.09100008010864258,0.0,41.54218878391866,0.0,0.0,0.0,0.0,667.5421887839187,0.0,41.54218878391866,9.699685025269106,9.699685025269106,626.0,0.0
